NumProc,Institucion,ID Institucion,Descripcion,Solicitud,Fecha
2018CD-000049-0008000001,MINISTERIO DE CULTURA Y JUVENTUD,2100042001,MANTENIMIENTO BIBLIOTECA NACIONAL CAMBIO DE CANOAS Y BAJANTES,0062018000500008,12/02/2018
2018CD-000034-0001200001,Instituto Costarricense de Turismo,4000042141,PATROCINIO TORNEO MUNDIAL PESCA DEPORTIVA 2018 QUEPOS,0062018000900063,27/02/2018
2018CD-000022-0018100001,INS SERVICIOS SOCIEDAD ANONIMA,3101549082,PRÓRROGA DE COMPRA DE TIMS PRUEBAS PSICOMÉTRICAS,0062018000800014,13/02/2018
2018CD-000005-0016500001,B N SOCIEDAD ADMINISTRADORA DE FONDOS DE INVERSION SOCIEDAD ANONIMA,3101237918,Renovación de soporte y garantía técnica de la solución de software de firma digital,0062018000100006,22/02/2018
,Instituto Nacional de Seguros,4000001902,Linezolid 600mg Bolsa para infusión 2 mg/ml,0062018741400001,27/02/2018
2018CD-000009-0007400001,INSTITUTO COSTARRICENSE DE INVESTIGACION Y ENSEÑANZA EN NUTRICION Y SALUD,3007045313,SUMINISTROS DE LIMPIEZA,,
2018CD-000012-0007600001,MINISTERIO DE VIVIENDA Y ASENTAMIENTOS HUMANOS,2100042013,SERVICIO DE PUBLICACIÓN,0062018000100017,22/02/2018
2018CD-000011-0007600001,MINISTERIO DE VIVIENDA Y ASENTAMIENTOS HUMANOS,2100042013,SERVICIO DE PUBLICACIÓN,0062018000100016,22/02/2018
2018CD-000036-0012300001,TRIBUNAL SUPREMO DE ELECCIONES,2400042156,PAUTA POR MEDIO DE TV CABLE CON TELEVISIÓN METROPOLITANA S A (CABLE TICA) II RONDA 2018.,0062018003100023,21/02/2018
2018LA-000003-0008000001,MINISTERIO DE CULTURA Y JUVENTUD,2100042001,SERVICIO DE ASESORIA SOCIOCULTURAL PARA EL TRABAJO REGIONAL SAN JOSE 2018,0062018000300001,08/01/2018
2018CD-000010-0010500001,INSTITUTO NACIONAL DE INNOVACION Y TRANSFERENCIA EN TECNOLOGIA AGROPECUARIA,3007320067,Diagnóstico del sistema Automático de riego Estación Exp. Quepos,0062018002200010,20/02/2018
2018CD-000005-0013900001,MUSEO ARTE Y DISEÑO CONTEMPORANEO,3007153889,Servicio de fumigación general y contra comején para el Museo de Arte y Diseño Contemporáneo,0062018000100011,24/01/2018
2018CD-000026-0016800001,MUNICIPALIDAD DE SAN ISIDRO DE HEREDIA,3014042093,SERVICIO DE ALIMENTACIÓN PARA LA RENDICIÓN DE CUENTAS,0062018411600005,26/02/2018
2018CD-000048-0008000001,MINISTERIO DE CULTURA Y JUVENTUD,2100042001,SERVICIO DE MANTENIMIENTO PREVENTIVO PARA LOS RELOJES MARCADORES BIOTRACK,0062018000400003,02/02/2018
2018CD-000035-0012300001,TRIBUNAL SUPREMO DE ELECCIONES,2400042156,PAUTA EN WEB ELECCIONES NACIONALES 2018  SEGUNDA RONDA CON CRHOY.,0062018003100027,22/02/2018
2018CD-000034-0012300001,TRIBUNAL SUPREMO DE ELECCIONES,2400042156,"PAUTA PUBLICITARIA SPOTS PARA LA II RONDA, ELECCIONES NACIONALES 2018 CON CINEMARK.",0062018003100024,21/02/2018
2018CD-000033-0012300001,TRIBUNAL SUPREMO DE ELECCIONES,2400042156,PAUTA EN WEB PARA LA II RONDA ELECCIONES NACIONALES 2018 CON CREA PUBLICIDAD.,0062018003100026,22/02/2018
2018CD-000010-0007200001,MINISTERIO DE LA PRESIDENCIA,2100042007,Boleto aéreo a Chile Primer Vicepresidente,0062018000100036,26/02/2018
2018CD-000208-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,Alquiler de cabañas sanitarias para Festival Gastronómico Peruano 10/03/18 Barrio Chino,0062018015400009,26/02/2018
2018LN-000001-0013900001,MUSEO ARTE Y DISEÑO CONTEMPORANEO,3007153889,Remodelación de infraestructura de las instalaciones del Museo de Arte y Diseño Contemporáneo (2018),0062017000100060,01/12/2017
2018CD-000207-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,"Servicio de reparacion activo 6030, Pedido 47456, OT 48801",0062018021800151,19/02/2018
2018CD-000006-0008200001,MINISTERIO DE PLANIFICACION NACIONAL Y POLITICA ECONOMICA,2100045230,SERVICIO DE CATERING TALLERES DE ASESORÍA AL DIRECTORIO DE COREDES REGIONAL PACIFICO CENTRAL FEBRERO-ABRIL 2018,0062018000900016,22/02/2018
2018CD-000206-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,SERVICIOS PROFESIONALES PARA EL DESARROLLO DE ACTIVIDADES SOCIOEDUCATIVAS Y DE CONSEJERÍA PARA GRUPOS  SOCIALES DE INTERÉS MUNICIPAL,0062018021000071,19/02/2018
2018CD-000205-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,Alquiler de tarima y toldos para festival Gastronómico Peruano 10/03/2018 Barrio Chino,0062018015400010,26/02/2018
2018LA-000003-0017699999,UNIVERSIDAD ESTATAL A DISTANCIA,4000042151,COMPRA E INSTALACION DE ELEVADOR,0062018110000002,22/02/2018
2018CD-000033-0001200001,Instituto Costarricense de Turismo,4000042141,SMS 5484 Compra de Tiquete Aéreo,0062018000900055,21/02/2018
2018CD-000204-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,Contratación atención pre hospitalaria para Festival Gastronómico Peruano 10/03/2018 Barrio Chino,0062018015400011,26/02/2018
2018CD-000203-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,"Servicio confeccion de freno activo 9056, Pedido 47436, OT 48756",0062018021800144,14/02/2018
2018CD-000202-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,"Servicio corregir falla en pedal activo 36028, Pedido 47439, OT 48792",0062018021800146,14/02/2018
2018PI-000058-0006500001,COMISION NACIONAL DE PREVENCION DE RIESGOS Y ATENCION DE EMERGENCIAS,3007111111,"Alquiler de maquinaria pesada para atender emergencia en el Cantón de Turrialba-Distrito Tuis, sector San Joaquín-Río Pacuare",0062018201600071,22/02/2018
2018PI-000057-0006500001,COMISION NACIONAL DE PREVENCION DE RIESGOS Y ATENCION DE EMERGENCIAS,3007111111,Alquiler de maquinaria pesada para atender emergencia en el Cantón de Turrialba-Distrito Tayutic Las Minas-Guadalupe camino 03-05-64,0062018201600070,22/02/2018
2018CD-000201-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,Servicios pre hospitalarios para Transitarte 2018,0062018020900023,24/02/2018
2018CD-000200-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,COMPRA DE ARTICULOS PROMOCIONALES PARA EL SERVICIO DE SEGURIDAD ELECTRONICA,0062018022400029,23/02/2018
2018CD-000199-0015499999,MUNICIPALIDAD DE SAN JOSE,3014042058,SERVICIO DE ALIMENTACIÓN DEL DÍA DE SAN JOSE,0062018010800011,21/02/2018
2018PI-000056-0006500001,COMISION NACIONAL DE PREVENCION DE RIESGOS Y ATENCION DE EMERGENCIAS,3007111111,"Alquiler de maquinaria pesada para atender emergencia en el cantón de Turrialba - Distrito Chirripó, Grano de Oro, camino 03-05-39 Río Moravia-Escuela Quetzal",0062018201600069,21/02/2018
