Número de procedimiento,Nombre de la institución,Fecha/hora de publicación,Descripción del procedimiento,Tipo de procedimiento,Inicio de recepción de ofertas,Fecha/hora de apertura de ofertas,Presupuesto total estimado,Estado del concurso,Cierre de recepción de ofertas,Regiones
 2022CD-000082-0005500001, Municipalidad de Atenas, 26/05/2022 14:58," Reparación indeterminada del recolector placa SM6956, (caja compactadora)", CONTRATACIÓN DIRECTA,26/05/2022 15:00,27/05/2022 14:45, 2.444.872 [CRC], En recepción de ofertas,27/05/2022 14:45,"['Alajuela', 'Cartago', 'Guanacaste', 'Heredia', 'Limón', 'Puntarenas', 'San José', 'Fuera del país']"
 2022CD-000521-0015499999, MUNICIPALIDAD DE SAN JOSE, 26/05/2022 14:56," SERVICIO DE REPARACION DE MAQUINA INDUSTRIAL COME TRONCOS  SHIPPER 2000 ACTIVO 9043 OT 63078, EN CONDICIÓN C, DE LA SECCION DE PARQUES", CONTRATACIÓN DIRECTA,26/05/2022 15:00,30/05/2022 09:05, 904.150 [CRC], En recepción de ofertas,30/05/2022 09:00,"['Alajuela', 'Cartago', 'Guanacaste', 'Heredia', 'Limón', 'Puntarenas', 'San José', 'Fuera del país']"
 2022CD-000008-0012900001, INSTITUTO COSTARRICENSE DE FERROCARRILES, 26/05/2022 14:54, Servicio de compra de alimentos y bebidas no procesados, CONTRATACIÓN DIRECTA,26/05/2022 15:00,02/06/2022 10:05, 750.000 [CRC], En recepción de ofertas,02/06/2022 10:00,['San José']
 2022CD-000042-0001200001, Instituto Costarricense de Turismo, 26/05/2022 14:52, COMPRA DE MEDICAMENTOS Y SUMINISTROS PARA EL CONSULTORIO, CONTRATACIÓN DIRECTA,26/05/2022 15:00,01/06/2022 08:00," 2.211.461,15 [CRC]", En recepción de ofertas,01/06/2022 08:00,"['Alajuela', 'Cartago', 'Guanacaste', 'Heredia', 'Limón', 'Puntarenas', 'San José']"
 2022CD-000038-0022300001, Municipalidad de Talamanca, 26/05/2022 14:51," COMPRA DE TOLDOS PARA FERIAS AGRICOLAS, ARTESANALES, FERIAS DE SALUD Y ACTIVIADES PROTOCOLARIAS.", CONTRATACIÓN DIRECTA,26/05/2022 15:00,31/05/2022 08:00, 3.000.000 [CRC], En recepción de ofertas,31/05/2022 08:00,"['Alajuela', 'Cartago', 'Guanacaste', 'Heredia', 'Limón', 'Puntarenas', 'San José', 'Fuera del país']"
 2022CD-000090-0003500001, UNIVERSIDAD NACIONAL, 26/05/2022 14:51, DERECHO DE USO DE LICENCIA BIG-IP Virtual Edition Access Policy Manager SITUACIÓN IMPREVISIBLE, CONTRATACIÓN DIRECTA,26/05/2022 14:55,30/05/2022 10:01, 15.964.938 [CRC], En recepción de ofertas,30/05/2022 10:00,"['Alajuela', 'Cartago', 'Guanacaste', 'Heredia', 'Limón', 'Puntarenas', 'San José', 'Fuera del país']"
 2022CD-000081-0005500001, Municipalidad de Atenas, 26/05/2022 14:43, COMPRA Y COLOCACION DE PERSIANAS PARA LA OFICINA DE GESTION JURIDICA., CONTRATACIÓN DIRECTA,26/05/2022 15:00,31/05/2022 14:45, 244.800 [CRC], En recepción de ofertas,31/05/2022 14:45,"['Alajuela', 'Cartago', 'Guanacaste', 'Heredia', 'Limón', 'Puntarenas', 'San José', 'Fuera del país']"
 2022CD-000034-0016400001, BANCO HIPOTECARIO DE LA VIVIENDA, 26/05/2022 14:37," Servicio de capacitación en Curso virtual denominado Análisis y modelado de datos con Microsoft Power BI –Nivel 1, Nayudell Montoya", CONTRATACIÓN DIRECTA,26/05/2022 14:45,27/05/2022 16:01," 295.905,54 [CRC]", En recepción de ofertas,27/05/2022 16:00,['San José']
 2022CD-000081-0001300003, Corte Suprema de Justicia-Poder Judicial, 26/05/2022 14:28," Sustitución, suministro e instalación de unidades de aire acondicionado en Edificio Tribunales de Sarapiquí (Tribunal de Juicio, Subdelegación Regional OIJ y Defensa Pública)", CONTRATACIÓN DIRECTA,26/05/2022 15:00,02/06/2022 16:00, 18.081.747 [CRC], En recepción de ofertas,02/06/2022 16:00,"['Alajuela', 'Cartago', 'Guanacaste', 'Heredia', 'Limón', 'Puntarenas', 'San José']"
 2022CD-000048-0058700001, CONSEJO DE SEGURIDAD VIAL, 26/05/2022 14:24," COMPRA DE CAMARAS CORPORALES (Body Cam) TIPO POLICIALES, PARA EDUCACION VIAL", CONTRATACIÓN DIRECTA,26/05/2022 15:00,31/05/2022 12:01, 14.000.000 [CRC], En recepción de ofertas,31/05/2022 12:00,"['Alajuela', 'Cartago', 'Guanacaste', 'Heredia', 'Limón', 'Puntarenas', 'San José']"
